RecID;MStamp;MStation;IDDocumentActief;IDDocumentPassief;RelatieType
1018493;2010-04-21;1;1012465;1002695;1
1018494;2010-04-21;1;1004146;1001611;2
1018495;2010-04-21;1;1018945;1002675;2
1018496;2010-04-21;1;1000534;1004697;1
1018497;2010-04-22;1;1018946;1014101;1
1018498;2010-04-22;1;1018946;1017718;1
1018499;2010-04-22;1;1018947;1014101;1
1018500;2010-04-22;1;1018947;1017718;1
1018501;2010-04-22;1;1018948;1014101;1
1018502;2010-04-22;1;1018948;1017718;1
1018503;2010-04-22;1;1002191;1018949;0
1018504;2010-04-22;1;1017904;1018949;2
1018505;2010-04-22;1;1018950;1018949;2
1018506;2010-04-22;1;1018951;1000413;2
1018507;2010-04-23;1;1018952;1015236;2
1018508;2010-04-23;1;1018952;1016694;2
1018509;2010-04-23;1;1018954;1017364;1
1018510;2010-04-23;1;1018954;1018283;1
1018511;2010-04-23;1;1018955;1011607;1
1018512;2010-04-23;1;1018955;1015753;0
1018513;2010-04-23;1;1004292;1000266;1
1018514;2010-04-23;1;1004291;1000266;1
1018515;2010-04-23;1;1004293;1000266;1
1018516;2010-04-26;1;1018956;1011441;2
1018517;2010-04-26;1;1018956;1014886;2
1018518;2010-04-26;1;1018957;1013812;1
1018519;2010-04-26;1;1018958;1017111;0
1018521;2010-04-26;1;1004740;1004741;0
1018523;2010-04-26;1;1004740;1000550;0
1018524;2010-04-26;1;1002079;1004329;0
1018525;2010-04-26;1;1003220;1004329;0
1018526;2010-04-26;1;1012637;1004330;2
1018527;2010-04-26;1;1004740;1004330;0
1018528;2010-04-26;1;1002079;1004330;0
1018529;2010-04-26;1;1002079;1004327;0
1018530;2010-04-26;1;1002079;1004328;0
1018531;2010-04-26;1;1003308;1018961;0
1018532;2010-04-26;1;1003220;1018961;0
1018533;2010-04-27;1;1018962;1005498;1
1018534;2010-04-27;1;1018962;1013553;2
1018535;2010-04-27;1;1018962;1018203;2
1018536;2010-04-27;1;1018965;1000386;2
1018537;2010-04-27;1;1012722;1000386;1
1018538;2010-04-27;1;1018966;1000386;2
1018539;2010-04-27;1;1018967;1000386;2
1018543;2010-04-27;1;1000386;1000264;1
1018544;2010-04-27;1;1000386;1000252;1
1018545;2010-04-27;1;1000386;1000256;1
1018546;2010-04-27;1;1000386;1000266;1
1018547;2010-04-27;1;1000386;1000465;1
1018548;2010-04-27;1;1000386;1004697;1
1018549;2010-04-27;1;1007932;1000386;2
1018550;2010-04-28;1;1009015;1017829;0
1018551;2010-04-28;1;1005770;1005771;0
1018552;2010-04-28;1;1018969;1017528;2
1018553;2010-04-28;1;1018970;1014453;2
1018554;2010-04-28;1;1002543;1000045;1
1018555;2010-04-28;1;1002543;1000387;1
1018556;2010-04-28;1;1002543;1004757;1
1018557;2010-04-28;1;1018973;1002543;2
1018558;2010-04-28;1;1018974;1002543;2
1018559;2010-04-28;1;1018975;1002543;2
1018560;2010-04-28;1;1018976;1002543;2
1018561;2010-04-28;1;1018977;1002543;2
1018562;2010-04-28;1;1018978;1002543;2
1018563;2010-04-28;1;1018979;1002543;2
1018564;2010-04-28;1;1012742;1002543;2
1018565;2010-04-29;1;1009922;1012575;0
1018566;2010-04-29;1;1018982;1012575;2
1018567;2010-04-30;1;1000034;1018985;0
1018568;2010-04-30;1;1000816;1007473;2
1018569;2010-04-30;1;1018986;1007473;2
1018570;2010-04-30;1;1018983;1004075;2
1018571;2010-04-30;1;1018984;1018609;2
1018572;2010-05-03;1;1018987;1018191;2
1018573;2010-05-03;1;1003968;1006784;2
1018574;2010-05-06;1;1018990;1018151;2
1018575;2010-05-06;1;1018991;1018609;1
1018576;2010-05-06;1;1018991;1018984;1
1018577;2010-05-06;1;1018991;1017896;1
1018578;2010-05-07;1;1018993;1017558;1
1018579;2010-05-07;1;1018993;1017396;1
1018580;2010-05-07;1;1018993;1014724;0
1018581;2010-05-07;1;1018993;1014751;0
1018582;2010-05-07;1;1018993;1014731;0
1018583;2010-05-07;1;1018993;1014028;0
1018584;2010-05-07;1;1018993;1014727;0
1018585;2010-05-07;1;1018993;1016531;0
1018586;2010-05-07;1;1018993;1014730;0
1018587;2010-05-07;1;1018993;1013730;0
1018588;2010-05-07;1;1018993;1014732;0
1018589;2010-05-07;1;1018993;1014092;0
1018590;2010-05-07;1;1018993;1018995;0
1018591;2010-05-07;1;1018993;1018994;0
1018592;2010-05-10;1;1018996;1018579;0
1018593;2010-05-11;1;1018997;1017767;1
1018594;2010-05-11;1;1018998;1015004;2
1018595;2010-05-17;1;1019000;1016943;2
1018596;2010-05-17;1;1019001;1000387;1
1018597;2010-05-17;1;1019001;1000388;1
