RecID;MStamp;MStation;IDDocument;IDTrefwoord
1000423;2006-06-24;1;1000372;1000195
1000424;2006-06-24;1;1000373;1000196
1000425;2006-06-24;1;1000373;1000130
1000426;2006-06-24;1;1000373;1000197
1000427;2006-06-24;1;1000373;1000198
1000428;2006-06-24;1;1000373;1000131
1000429;2006-06-24;1;1000373;1000179
1000430;2006-06-24;1;1000377;1000033
1000431;2006-06-24;1;1000379;1000199
1000432;2006-06-24;1;1000379;1000200
1000433;2006-06-24;1;1000379;1000098
1000434;2006-06-24;1;1000381;1000201
1000435;2006-06-24;1;1000381;1000202
1000436;2006-06-24;1;1000383;1000195
1000437;2006-06-24;1;1000385;1000041
1000438;2006-06-24;1;1000385;1000042
1000439;2006-06-24;1;1000385;1000043
1000440;2006-06-24;1;1000385;1000044
1000441;2006-06-24;1;1000385;1000045
1000442;2006-06-24;1;1000385;1000046
1000443;2006-06-24;1;1000385;1000047
1000444;2006-06-24;1;1000385;1000048
1000445;2006-06-24;1;1000385;1000131
1000446;2006-06-24;1;1000387;1000041
1000447;2006-06-24;1;1000387;1000042
1000448;2006-06-24;1;1000387;1000043
1000449;2006-06-24;1;1000387;1000044
1000450;2006-06-24;1;1000387;1000045
1000451;2006-06-24;1;1000387;1000046
1000452;2006-06-24;1;1000387;1000047
1000453;2006-06-24;1;1000387;1000048
1000454;2006-06-24;1;1000388;1000041
1000455;2006-06-24;1;1000388;1000042
1000456;2006-06-24;1;1000388;1000043
1000457;2006-06-24;1;1000388;1000044
1000458;2006-06-24;1;1000388;1000045
1000459;2006-06-24;1;1000388;1000046
1000460;2006-06-24;1;1000388;1000047
1000461;2006-06-24;1;1000388;1000048
1000462;2006-06-24;1;1000389;1000203
1000463;2006-06-24;1;1000389;1000204
1000464;2006-06-24;1;1000390;1000165
1000465;2006-06-24;1;1000390;1000179
1000466;2006-06-24;1;1000390;1000203
1000467;2006-06-24;1;1000390;1000204
1000468;2006-06-24;1;1000390;1000131
1000469;2006-06-24;1;1000390;1000041
1000470;2006-06-24;1;1000390;1000042
1000471;2006-06-24;1;1000390;1000043
1000472;2006-06-24;1;1000390;1000044
1000473;2006-06-24;1;1000390;1000045
1000474;2006-06-24;1;1000390;1000046
1000475;2006-06-24;1;1000390;1000047
1000476;2006-06-24;1;1000390;1000048
