RecID;MStamp;MStation;IDDocument;IDDeelCD
1000580;2006-06-24;1;1000580;1000001
1000581;2006-06-24;1;1000581;1000001
1000582;2006-06-24;1;1000582;1000001
1000583;2006-06-24;1;1000583;1000001
1000584;2006-06-24;1;1000584;1000001
1000585;2006-06-24;1;1000585;1000001
1000586;2006-06-24;1;1000586;1000001
1000587;2006-06-24;1;1000587;1000001
1000588;2006-06-24;1;1000588;1000001
1000589;2006-06-24;1;1000589;1000001
1000590;2006-06-24;1;1000590;1000001
1000591;2006-06-24;1;1000591;1000001
1000592;2006-06-24;1;1000592;1000001
1000593;2006-06-24;1;1000593;1000001
1000594;2006-06-24;1;1000594;1000001
1000595;2006-06-24;1;1000595;1000001
1000596;2006-06-24;1;1000596;1000001
1000597;2006-06-24;1;1000597;1000001
1000598;2006-06-24;1;1000598;1000001
1000599;2006-06-24;1;1000599;1000001
1000600;2006-06-24;1;1000600;1000001
1000601;2006-06-24;1;1000601;1000001
1000602;2006-06-24;1;1000602;1000001
1000603;2006-06-24;1;1000603;1000001
1000604;2006-06-24;1;1000604;1000001
1000605;2006-06-24;1;1000605;1000001
1000606;2006-06-24;1;1000606;1000001
1000607;2006-06-24;1;1000607;1000001
1000608;2006-06-24;1;1000608;1000001
1000609;2006-06-24;1;1000609;1000001
1000610;2006-06-24;1;1000610;1000001
1000611;2006-06-24;1;1000611;1000001
1000612;2006-06-24;1;1000612;1000001
1000613;2006-06-24;1;1000613;1000001
1000614;2006-06-24;1;1000614;1000001
1000615;2006-06-24;1;1000615;1000001
1000616;2006-06-24;1;1000616;1000001
1000617;2006-06-24;1;1000617;1000001
1000618;2006-06-24;1;1000618;1000001
1000619;2006-06-24;1;1000619;1000001
1000620;2006-06-24;1;1000620;1000001
1000621;2006-06-24;1;1000621;1000001
1000622;2006-06-24;1;1000622;1000001
1000623;2006-06-24;1;1000623;1000001
1000624;2006-06-24;1;1000624;1000001
1000625;2006-06-24;1;1000625;1000001
1000626;2006-06-24;1;1000626;1000001
1000627;2006-06-24;1;1000627;1000001
1000628;2006-06-24;1;1000628;1000001
1000629;2006-06-24;1;1000629;1000001
1000630;2006-06-24;1;1000630;1000001
1000631;2006-06-24;1;1000631;1000001
1000632;2006-06-24;1;1000632;1000001
1000633;2006-06-24;1;1000633;1000001
1000634;2006-06-24;1;1000634;1000001
1000635;2006-06-24;1;1000635;1000001
1000636;2006-06-24;1;1000636;1000001
1000637;2006-06-24;1;1000637;1000001
1000638;2006-06-24;1;1000638;1000001
1000639;2006-06-24;1;1000639;1000001
1000640;2006-06-24;1;1000640;1000001
1000641;2006-06-24;1;1000641;1000001
1000642;2006-06-24;1;1000642;1000001
1000643;2006-06-24;1;1000643;1000001
1000644;2006-06-24;1;1000644;1000001
1000645;2006-06-24;1;1000645;1000001
1000646;2006-06-24;1;1000646;1000001
1000647;2006-06-24;1;1000647;1000001
1000648;2006-06-24;1;1000648;1000001
1000649;2006-06-24;1;1000649;1000001
1000650;2006-06-24;1;1000650;1000001
1000651;2006-06-24;1;1000651;1000001
1000652;2006-06-24;1;1000652;1000001
1000653;2006-06-24;1;1000653;1000001
1000654;2006-06-24;1;1000654;1000001
1000655;2006-06-24;1;1000655;1000001
1000656;2006-06-24;1;1000656;1000001
1000657;2006-06-24;1;1000657;1000001
1000658;2006-06-24;1;1000658;1000001
1000659;2006-06-24;1;1000659;1000001
1000660;2006-06-24;1;1000660;1000001
1000661;2006-06-24;1;1000661;1000001
1000662;2006-06-24;1;1000662;1000001
1000663;2006-06-24;1;1000663;1000001
1000664;2006-06-24;1;1000664;1000001
1000665;2006-06-24;1;1000665;1000001
1000666;2006-06-24;1;1000666;1000001
1000667;2006-06-24;1;1000667;1000001
1000668;2006-06-24;1;1000668;1000001
1000669;2006-06-24;1;1000669;1000001
